"sensor","tf_input_rpu","inducer_um","replicate","experiment_rpu"
"CI43470","2.036350173","0.05","5","1.682896"
"CI43470","2.036350173","0.05","6","1.733481"
"CI43470","4.641370673","0.05","1","1.614654"
"CI43470","4.641370673","0.05","2","1.690638"
"CI43470","4.641370673","0.05","3","1.458448"
"CI43470","4.641370673","0.05","4","1.40337"
"CI43470","4.641370673","0.05","5","1.414164"
"CI43470","4.641370673","0.05","6","1.398356"
"CI43470","7.648516866","0.05","1","1.261872"
"CI43470","7.648516866","0.05","2","1.175034"
"CI43470","7.648516866","0.05","3","1.173335"
"CI43470","7.648516866","0.05","4","1.102057"
"CI43470","7.648516866","0.05","5","1.129624"
"CI43470","7.648516866","0.05","6","1.050585"
"CI43470","0.011855467","0.1","1","1.97829"
"CI43470","0.011855467","0.1","2","2.160109"
"CI43470","0.011855467","0.1","3","1.694962"
"CI43470","0.011855467","0.1","4","1.795399"
"CI43470","0.011855467","0.1","5","1.641796"
"CI43470","0.011855467","0.1","6","1.714512"
"CI43470","0.123687361","0.1","1","2.249661"
"CI43470","0.123687361","0.1","2","2.393487"
"CI43470","0.123687361","0.1","3","1.960635"
"CI43470","0.123687361","0.1","4","2.041633"
"CI43470","0.123687361","0.1","5","1.806197"
"CI43470","0.123687361","0.1","6","1.749289"
"CI43470","0.782812757","0.1","1","2.257802"
"CI43470","0.782812757","0.1","2","2.187246"
"CI43470","0.782812757","0.1","3","1.821319"
"CI43470","0.782812757","0.1","4","1.827798"
"CI43470","0.782812757","0.1","5","1.777743"
"CI43470","0.782812757","0.1","6","1.695542"
"CI43470","2.036350173","0.1","1","1.739484"
"CI43470","2.036350173","0.1","2","1.739484"
"CI43470","2.036350173","0.1","3","1.555646"
"CI43470","2.036350173","0.1","4","1.487607"
"CI43470","2.036350173","0.1","5","1.357256"
"CI43470","2.036350173","0.1","6","1.369902"
"CI43470","4.641370673","0.1","1","1.191316"
"CI43470","4.641370673","0.1","2","1.226594"
"CI43470","4.641370673","0.1","3","1.050219"
"CI43470","4.641370673","0.1","4","0.99838"
"CI43470","4.641370673","0.1","5","0.987354"
"CI43470","4.641370673","0.1","6","1.009485"
"CI43470","7.648516866","0.1","1","0.838535"
"CI43470","7.648516866","0.1","2","0.759837"
"CI43470","7.648516866","0.1","3","0.833144"
"CI43470","7.648516866","0.1","4","0.836384"
"CI43470","7.648516866","0.1","5","0.788176"
"CI43470","7.648516866","0.1","6","0.762883"
"CI43470","0.011855467","0.5","1","1.97829"
"CI43470","0.011855467","0.5","2","2.141113"
"CI43470","0.011855467","0.5","3","1.733841"
"CI43470","0.011855467","0.5","4","1.743561"
"CI43470","0.011855467","0.5","5","1.600696"
"CI43470","0.011855467","0.5","6","1.758773"
"CI43470","0.123687361","0.5","1","2.119403"
"CI43470","0.123687361","0.5","2","2.054274"
"CI43470","0.123687361","0.5","3","1.840758"
"CI43470","0.123687361","0.5","4","1.75004"
"CI43470","0.123687361","0.5","5","1.755612"
"CI43470","0.123687361","0.5","6","1.77142"
"CI43470","0.782812757","0.5","1","1.278155"
"CI43470","0.782812757","0.5","2","1.31886"
"CI43470","0.782812757","0.5","3","1.163616"
"CI43470","0.782812757","0.5","4","1.118257"
"CI43470","0.782812757","0.5","5","1.120139"
"CI43470","0.782812757","0.5","6","1.069554"
"CI43470","2.036350173","0.5","1","0.800543"
"CI43470","2.036350173","0.5","2","0.784261"
"CI43470","2.036350173","0.5","3","0.755386"
"CI43470","2.036350173","0.5","4","0.693828"
"CI43470","2.036350173","0.5","5","0.693329"
"CI43470","2.036350173","0.5","6","0.690168"
"CI43470","4.641370673","0.5","1","0.561737"
"CI43470","4.641370673","0.5","2","0.531886"
"CI43470","4.641370673","0.5","3","0.496193"
"CI43470","4.641370673","0.5","4","0.457314"
"CI43470","4.641370673","0.5","5","0.468859"
"CI43470","4.641370673","0.5","6","0.487828"
"CI43470","7.648516866","0.5","1","0.434193"
"CI43470","7.648516866","0.5","2","0.420624"
"CI43470","7.648516866","0.5","3","0.382796"
"CI43470","7.648516866","0.5","4","0.369836"
"CI43470","7.648516866","0.5","5","0.392981"
"CI43470","7.648516866","0.5","6","0.38982"
"CI43470","0.011855467","1.0","1","2.469471"
"CI43470","0.011855467","1.0","2","2.857531"
"CI43470","0.011855467","1.0","3","1.75004"
"CI43470","0.011855467","1.0","4","1.795399"
"CI43470","0.011855467","1.0","5","1.777743"
"CI43470","0.011855467","1.0","6","1.559595"
"CI43470","0.123687361","1.0","1","2.284939"
"CI43470","0.123687361","1.0","2","2.523745"
"CI43470","0.123687361","1.0","3","1.77272"
"CI43470","0.123687361","1.0","4","1.733841"
"CI43470","0.123687361","1.0","5","1.733481"
"CI43470","0.123687361","1.0","6","1.657604"
"CI43470","0.782812757","1.0","1","1.19403"
"CI43470","0.782812757","1.0","2","1.185889"
"CI43470","0.782812757","1.0","3","0.888223"
"CI43470","0.782812757","1.0","4","0.9919"
"CI43470","0.782812757","1.0","5","0.996838"
"CI43470","0.782812757","1.0","6","0.971546"
"CI43470","2.036350173","1.0","1","0.710991"
"CI43470","2.036350173","1.0","2","0.694708"
"CI43470","2.036350173","1.0","3","0.60959"
"CI43470","2.036350173","1.0","4","0.580431"
"CI43470","2.036350173","1.0","5","0.598482"
"CI43470","2.036350173","1.0","6","0.636421"
"CI43470","4.641370673","1.0","1","0.493894"
"CI43470","4.641370673","1.0","2","0.493894"
"CI43470","4.641370673","1.0","3","0.424915"
"CI43470","4.641370673","1.0","4","0.421675"
"CI43470","4.641370673","1.0","5","0.453051"
"CI43470","4.641370673","1.0","6","0.437243"
"CI43470","7.648516866","1.0","1","0.415197"
"CI43470","7.648516866","1.0","2","0.398915"
"CI43470","7.648516866","1.0","3","0.356877"
"CI43470","7.648516866","1.0","4","0.356877"
"CI43470","7.648516866","1.0","5","0.374012"
"CI43470","7.648516866","1.0","6","0.364527"
"CI43470","0.011855467","10.0","1","2.56445"
"CI43470","0.011855467","10.0","2","2.814111"
"CI43470","0.011855467","10.0","3","1.850478"
"CI43470","0.011855467","10.0","4","1.993034"
"CI43470","0.011855467","10.0","5","1.948467"
"CI43470","0.011855467","10.0","6","1.942144"
"CI43470","0.123687361","10.0","1","1.755767"
"CI43470","0.123687361","10.0","2","1.649932"
"CI43470","0.123687361","10.0","3","1.38069"
"CI43470","0.123687361","10.0","4","1.36773"
"CI43470","0.123687361","10.0","5","1.316156"
"CI43470","0.123687361","10.0","6","1.347771"
"CI43470","0.782812757","10.0","1","0.759837"
"CI43470","0.782812757","10.0","2","0.738128"
"CI43470","0.782812757","10.0","3","0.638749"
"CI43470","0.782812757","10.0","4","0.59663"
"CI43470","0.782812757","10.0","5","0.693329"
"CI43470","0.782812757","10.0","6","0.642744"
"CI43470","2.036350173","10.0","1","0.526459"
"CI43470","2.036350173","10.0","2","0.51289"
"CI43470","2.036350173","10.0","3","0.431395"
"CI43470","2.036350173","10.0","4","0.431395"
"CI43470","2.036350173","10.0","5","0.459374"
"CI43470","2.036350173","10.0","6","0.475182"
"CI43470","4.641370673","10.0","1","0.41791"
"CI43470","4.641370673","10.0","2","0.426052"
"CI43470","4.641370673","10.0","3","0.340677"
"CI43470","4.641370673","10.0","4","0.343917"
"CI43470","4.641370673","10.0","5","0.380335"
"CI43470","4.641370673","10.0","6","0.399304"
"CI43470","7.648516866","10.0","1","0.374491"
"CI43470","7.648516866","10.0","2","0.309362"
"CI43470","7.648516866","10.0","3","0.295318"
"CI43470","7.648516866","10.0","4","0.266159"
"CI43470","7.648516866","10.0","5","0.32975"
"CI43470","7.648516866","10.0","6","0.307619"
"LexAgs91","0.011855467","0.0","1","1.020353"
"LexAgs91","0.011855467","0.0","2","1.128901"
"LexAgs91","0.011855467","0.0","3","1.01782"
"LexAgs91","0.011855467","0.0","4","1.056699"
"LexAgs91","0.011855467","0.0","5","1.139108"
"LexAgs91","0.011855467","0.0","6","1.113816"
"LexAgs91","0.123687361","0.0","1","1.175034"
"LexAgs91","0.123687361","0.0","2","1.145183"
"LexAgs91","0.123687361","0.0","3","1.140936"
"LexAgs91","0.123687361","0.0","4","1.127977"
"LexAgs91","0.123687361","0.0","5","1.139108"
"LexAgs91","0.123687361","0.0","6","1.154916"
"LexAgs91","0.782812757","0.0","1","1.139756"
