"panel","condition","x_value_uM","series_value_uM","mean_RPU","sample_SD_RPU"
"C2","2","0.1","1","8.1024445","0.7418702718700224"
"C2","2","0.1","10","7.2812415","0.159249639511366"
"C2","2","0.5","0","15.11425","0.621462007849232"
"C2","2","0.5","1","12.24691","0.15925458925883437"
"C2","2","0.5","10","10.980775","0.16701155064845105"
"C2","2","1","0","15.770665000000001","0.1709006379449768"
"C2","2","1","1","13.66685","0.8001337493194499"
"C2","2","1","10","13.020050000000001","0.05631398405369628"
"C3","3","0","0","0.01","0.0"
"C3","3","0","0.1","0.3641855","0.06408862311284275"
"C3","3","0","1","0.956056","0.1631337770604237"
"C3","3","0.01","0","0.01","0.0"
"C3","3","0.01","0.1","0.2968965","0.011652412647173132"
"C3","3","0.01","1","0.8201045","0.0019424223279194848"
"C3","3","0.05","0","0.01","0.0"
"C3","3","0.05","0.1","0.16341699999999998","0.02097420134355537"
"C3","3","0.05","1","0.39302400000000004","0.062146200784923306"
"C3","3","0.1","0","0.01","0.0"
"C3","3","0.1","0.1","0.071958","0.005437651147324542"
"C3","3","0.1","1","0.1848395","0.03418083469577651"
"C3","3","0.5","0","0.01","0.0"
"C3","3","0.5","0.1","0.0065915","0.0007771103525240159"
"C3","3","0.5","1","0.042983","0.004078591913884003"
"C3","3","1","0","0.01","0.0"
"C3","3","1","0.1","0.001873","0.001234608439951712"
"C3","3","1","1","0.0336445","0.002136169585964557"
"C4","4","0","0","0.0043945","0.0050494495244531356"
"C4","4","0","0.1","9.7901685","0.3825893163491378"
"C4","4","0","1","15.06207","0.031070271965336335"
"C4","4","0.01","0","0.0910465","0.0036903902910125925"
"C4","4","0.01","0.1","9.350727500000001","0.48745890885335114"
"C4","4","0.01","1","15.436965","0.033014815613599834"
"C4","4","0.05","0","0.0039825","0.002912572831707389"
"C4","4","0.05","0.1","3.5556165","0.033015522720381114"
"C4","4","0.05","1","7.590222499999999","0.08350860375135004"
"C4","4","0.1","0","0.0024225","0.0020117187924757274"
"C4","4","0.1","0.1","1.7168364999999999","0.07379861343209647"
"C4","4","0.1","1","4.066465","0.0718561911041773"
"C4","4","0.5","0","0.001","0.0"
"C4","4","0.5","0.1","0.3106285","0.0038841375490577235"
"C4","4","0.5","1","0.848943","0.031073100392461632"
"C4","4","1","0","0.001","0.0"
"C4","4","1","0.1","0.1966495","0.005825852770195963"
"C4","4","1","1","0.5330950000000001","0.015536550196230816"
